*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar 24 21:07:58 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.488497152985318E+07,  1.449783471519303E+08, -6.171709629841149E+03,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -2.745980212393232E+07,  1.445097591682957E+08, -6.116887968093157E+03,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000, -3.002586381007168E+07,  1.439961820648797E+08, -6.080354373447597E+03,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000, -3.258235979582509E+07,  1.434378196538077E+08, -6.062506451241672E+03,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000, -3.512850449874069E+07,  1.428348898542020E+08, -6.062982639506459E+03,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000, -3.766352418117252E+07,  1.421876237228418E+08, -6.080618872061372E+03,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000, -4.018665775174202E+07,  1.414962640722080E+08, -6.113384899146855E+03,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000, -4.269715747854243E+07,  1.407610634664288E+08, -6.158320847131312E+03,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000, -4.519428921429489E+07,  1.399822815096748E+08, -6.211509445942938E+03,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000, -4.767733163793358E+07,  1.391601815743282E+08, -6.268131090052426E+03,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000, -5.014557406458684E+07,  1.382950274430449E+08, -6.322648729257286E+03,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000, -5.259831265743890E+07,  1.373870806530326E+08, -6.369147837527096E+03,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000, -5.503484538151351E+07,  1.364365994382135E+08, -6.401811716564000E+03,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000, -5.745446658301585E+07,  1.354438398966208E+08, -6.415459198862314E+03,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000, -5.985646235349479E+07,  1.344090593976015E+08, -6.406038738936186E+03,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000, -6.224010764728194E+07,  1.333325215720600E+08, -6.370981754548848E+03,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000, -6.460466555997894E+07,  1.322145018527452E+08, -6.309364602357149E+03,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000, -6.694938856968390E+07,  1.310552925972523E+08, -6.221884931787848E+03,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000, -6.927352118035920E+07,  1.298552071927878E+08, -6.110696074523032E+03,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000, -7.157630335716082E+07,  1.286145829448676E+08, -5.979152892567217E+03,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000, -7.385697428740047E+07,  1.273337828105489E+08, -5.831512701258063E+03,
