*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA (revised 2025-Jan-30):
  Mass x 10^26 (kg)     = 18.9819           Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.711 s   Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar 24 21:09:08 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  7.871047928605196E+07, -7.780618927194223E+08,  1.470622435283840E+06,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  7.982100442998528E+07, -7.778940051274471E+08,  1.445076443675637E+06,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  8.093130059969951E+07, -7.777245883245965E+08,  1.419523334566295E+06,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  8.204158988056159E+07, -7.775535738455575E+08,  1.393969272011161E+06,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  8.315169431944475E+07, -7.773809534655222E+08,  1.368411703211248E+06,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  8.426169203187168E+07, -7.772066319279418E+08,  1.342855145892382E+06,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  8.537153540010279E+07, -7.770307176697054E+08,  1.317295555375040E+06,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  8.648114323119506E+07, -7.768530309074463E+08,  1.291738492125511E+06,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000,  8.759051328249572E+07, -7.766737915544721E+08,  1.266175444211841E+06,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000,  8.869960457463387E+07, -7.764929893135527E+08,  1.240606317881525E+06,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000,  8.980864039079458E+07, -7.763106183272117E+08,  1.215035098239303E+06,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000,  9.091744321558213E+07, -7.761266352146940E+08,  1.189460627541184E+06,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000,  9.202611602953486E+07, -7.759409828108181E+08,  1.163886368156672E+06,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000,  9.313458761100709E+07, -7.757537621904643E+08,  1.138308193718791E+06,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000,  9.424283444924724E+07, -7.755647917057304E+08,  1.112732679863930E+06,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000,  9.535081467221726E+07, -7.753742922062242E+08,  1.087150702711344E+06,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000,  9.645851298662496E+07, -7.751822341407862E+08,  1.061563131131589E+06,
