*******************************************************************************
JPL/HORIZONS                  ATLAS (C/2025 N1)            2026-Mar-24 21:04:49
Rec #:90004924 (+COV) Soln.date: 2026-Feb-19_09:10:47    # obs: 782 (2025-2026)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2461090.5 ! 2026-Feb-19.0000000 (TDB)    RMSW= n.a.
   EC= 6.141351449317625   QR= 1.356481057231181   TP= 2460977.9952628477
   OM= 322.1696089290778   W= 128.0228697185194    IN= 175.1164570850441
   A= -.2638374502507929   MA= 98.22024580386574   ADIST= 9.999999E99
   PER= 9.999999E99        N= 7.27276261           ANGMOM= .053540018
   DAN= -3.48091           DDN= 2.02535            L= 194.0455827
   B= 3.8453136            MOID= .364723           TP= 2025-Oct-29.4952628477
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  12.5     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  9.478815
   A1= 5.320206165314E-8   A2= 1.148166060448E-8   A3= -6.854491829872E-9
 Non-standard or simulated/proxy model:
   ALN=  1.            NK=  0.       NM=  2.       NN=  0.       R0=  1.
 
COMET comments 
1: soln ref.= JPL#54, data arc: 2025-05-15 to 2026-02-19
2: k1=4.5;Nongravitational accels. using g(r) = (1 au/ r)^2 for CO2
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar 24 21:04:49 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: ATLAS (C/2025 N1)               {source: JPL#54}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2461090.5 ! 2026-Feb-19.0000000 (TDB)    RMSW= n.a.                  
   EC= 6.141351449317625   QR= 1.356481057231181   TP= 2460977.9952628477      
   OM= 322.1696089290778   W= 128.0228697185194    IN= 175.1164570850441       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.878465706009316E+00  Y= 3.556787034031755E+00  Z= 1.369259882335852E+00
  VX=-3.393307402708430E-03 VY= 3.324252268915676E-02 VZ= 1.201145093769092E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  12.5     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  9.478815               
   A1= 5.320206165314E-8   A2= 1.148166060448E-8   A3= -6.854491829872E-9      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.       NN=  0.       R0=  1.       
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  4.100984584162941E+09, -9.983765467372330E+09,  4.588374389284425E+08,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  4.098975330760376E+09, -9.979162591315395E+09,  4.586321150480399E+08,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  4.096966073745075E+09, -9.974559705862478E+09,  4.584267908174238E+08,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  4.094956813113181E+09, -9.969956811011179E+09,  4.582214662363629E+08,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  4.092947548860958E+09, -9.965353906759064E+09,  4.580161413046103E+08,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  4.090938280984780E+09, -9.960750993103676E+09,  4.578108160219164E+08,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  4.088929009481131E+09, -9.956148070042524E+09,  4.576054903880196E+08,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  4.086919734346595E+09, -9.951545137573078E+09,  4.574001644026456E+08,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000,  4.084910455577849E+09, -9.946942195692780E+09,  4.571948380655155E+08,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000,  4.082901173171661E+09, -9.942339244399035E+09,  4.569895113763413E+08,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000,  4.080891887124883E+09, -9.937736283689217E+09,  4.567841843348217E+08,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000,  4.078882597434440E+09, -9.933133313560673E+09,  4.565788569406524E+08,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000,  4.076873304097328E+09, -9.928530334010721E+09,  4.563735291935148E+08,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000,  4.074864007110609E+09, -9.923927345036665E+09,  4.561682010930834E+08,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000,  4.072854706471402E+09, -9.919324346635792E+09,  4.559628726390243E+08,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000,  4.070845402176878E+09, -9.914721338805387E+09,  4.557575438309917E+08,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000,  4.068836094224259E+09, -9.910118321542740E+09,  4.555522146686282E+08,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000,  4.066826782610808E+09, -9.905515294845156E+09,  4.553468851515665E+08,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,  4.064817467333833E+09, -9.900912258709972E+09,  4.551415552794223E+08,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000,  4.062808148390681E+09, -9.896309213134577E+09,  4.549362250518012E+08,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000,  4.060798825778745E+09, -9.891706158116419E+09,  4.547308944682870E+08,
2458870.500000000, A.D. 2020-Jan-22 00:00:00.0000,  4.058789499495462E+09, -9.887103093653040E+09,  4.545255635284476E+08,
2458871.500000000, A.D. 2020-Jan-23 00:00:00.0000,  4.056780169538326E+09, -9.882500019742090E+09,  4.543202322318287E+08,
2458872.500000000, A.D. 2020-Jan-24 00:00:00.0000,  4.054770835904896E+09, -9.877896936381351E+09,  4.541149005779467E+08,
2458873.500000000, A.D. 2020-Jan-25 00:00:00.0000,  4.052761498592819E+09, -9.873293843568768E+09,  4.539095685662889E+08,
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000,  4.050752157599847E+09, -9.868690741302475E+09,  4.537042361963100E+08,
